H,2026/9/8,,,,,,,,,,,,,,
［データ区分］,［伝票日付］,［自社会員名］,［取引先名］,［納品場所 住所］,［自社管理商品コード］,［商品名］,［規格］,［入数］,［入数単位］,［単価］,［数量］,［単位］,［金額］,［小計］,［税区分］
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280049,Ｃ２０９　カントリースライス　５００ｇ,５００ｇ,1,PC,1995,4,PC,7980,7980,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280037,D203　ベーコンスライス　　１ｋｇ,1kg　【ＰＣ】で発注をお願い致します。,0,未指定,2320,5,PC,11600,11600,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280040,Ｗ２０１　あらびきポークウインナー　４０ｇ　【荷姿　１ｋｇ】,１ｋｇ,1,PC,2130,10,PC,21300,21300,外税
D,2026/7/1,Ｐａｓａｒ守谷下り店（株式会社パット）,石川株式会社,茨城県守谷市野木崎97-3　常磐自動車道守谷SA（下り線内）　パサｰル守谷下り線　小島屋乳業製菓株式会社,PA0280099,B287　熟成ロースハム　210ｇ,210g,1,PC,643,10,PC,6430,6430,外税
D,2026/7/1,Ｐａｓａｒ守谷下り店（株式会社パット）,株式会社トーホー・北関東,茨城県守谷市野木崎97-3　常磐自動車道守谷SA（下り線内）　パサｰル守谷下り線　小島屋乳業製菓株式会社,PA0360008,メグミルク　北海道フレッシュクリーム47　1L,1L,12,本,1349,4,本,5396,5396,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0140044,【冷生地】ブリオッシュグランデ生地,４㎏,1,セット,4736,2,セット,9472,9472,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0140001,【冷生地】クロワッサン,195個,195,セット,22522.5,1,セット,22522,22522,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0140011,【冷生地】さつまいものデニッシュ（PAT）,50個,50,セット,7350,1,セット,7350,7350,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0140017,【冷生地】プリエオショコラ,60個,60,セット,8820,1,セット,8820,8820,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280072,アトム　　２５ｋｇ,,0,袋,3470,1,袋,3470,3470,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280052,メゾンカイザートラディショナル,25kg 混載10袋～,1,袋,4337,3,袋,13011,13011,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280057,リスドール,,0,未指定,3782,2,袋,7564,7564,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280061,セイヴァリー,２５ｋｇ,1,袋,3862,1,袋,3862,3862,外税
D,2026/7/1,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280084,アーレファイン　５ｋｇ,５ｋｇ,1,袋,1875,1,袋,1875,1875,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,株式会社越後屋製袋所,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,,運賃,,0,未指定,1810,1,式,1810,1810,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,池伝株式会社　札幌支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0300467,トチアン　鹿の子　とら豆　2㎏,2㎏×1C/S,1,C/S,6880,1,C/S,6880,6880,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,池伝株式会社　札幌支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0300387,北乳　コンデンスミルク　1ｋｇ,1kg×12×1C/S,1,本,930,1,本,930,930,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,池伝株式会社　札幌支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0300153,キリ クリームチーズ 1kg,,0,未指定,2200,2,kg,4400,4400,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,池伝株式会社　札幌支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0300381,ハウス　ほぐし牛肉の欧風カレーフィリング　2kg,2kg×4袋×1C/S,1,C/S,9200,1,C/S,9200,9200,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,池伝株式会社　札幌支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0300373,茜丸　粒あん十勝　3㎏,3㎏×4×1C/S,1,C/S,8200,1,C/S,8200,8200,外税
D,2026/7/1,ＰＡＴ円山本店（株式会社パット）,池伝株式会社　札幌支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0300155,日食　オートミール　1ｋｇ,1kgx1,1,袋,820,1,袋,820,820,外税
