［取引先コード］,［取引先名］,［自社管理商品コード］,材料名,仕入量(g),仕入価格(\),［商品名］,［数量］,［単位］,単価,［金額］
1029,マンドスジャパン株式会社,A0130003,カラマタオリーブ,2000,3210,カラマタオリーブ種ナシ２ｋｇ,70,個,3210,224700
1029,マンドスジャパン株式会社,A0130004,セミドライトマト,11400,27000,セミドライトマト1.9ｋｇ6個入りケース,3,C/S,27000,81000
1005,株式会社イワセ・エスタグループ本社,A0220057,ノワールセレクシオン,5000,15360,ベルコラーデ　ノワールセレクシオン　ＣＴ　５ｋｇ,2,袋,15360,30720
1005,株式会社イワセ・エスタグループ本社,A0220063,はちみつ,25000,15500,秋田屋本店　ミャンマー産はちみつ　２５ｋｇ,5,缶,15500,77500
1005,株式会社イワセ・エスタグループ本社,A0220068,グレンノワールセレクシオン,5000,14650,ベルコラーデ　グレンノワールセレクシオンＣＴ　５ｋｇ,6,袋,14650,87900
1021,株式会社トーホーフードサービス　グループ,A0380151,メグ北海道フレッシュ４７,1000,1349,メグ北海道フレッシュ47　　1L,70,個,1349,94430
1021,株式会社トーホーフードサービス　グループ,A0380208,脱脂粉乳,25000,21850,雪印　脱脂粉乳N                                    25k,4,C/S,21850,87400
1021,株式会社トーホーフードサービス　グループ,A0380231,バジル,100,422,TDF　バジル,27,PC,422,11394
1021,株式会社トーホーフードサービス　グループ,A0380262,クスクス,500,678,アルバディアクスクス（パスタ）500g,42,個,678,28476
1021,株式会社トーホーフードサービス　グループ,A0380433,おろしニンニク,1000,999,テーオー　フレンド印生おろしにんにく　１ｋ,5,本,999,4995
1021,株式会社トーホーフードサービス　グループ,A0380439,トマト,250,367,TDF　トマト,74,個,367,27158
1021,株式会社トーホーフードサービス　グループ,A0380611,茄子のグリル,600,988,カゴメ　茄子のグリル        （ラウンドスライス）   600g,1,個,988,988
1021,株式会社トーホーフードサービス　グループ,A0380729,ホットドッグレリッシュ,400,493,ハインツ　ホットドッグレリッシュ 400g,96,PC,493,47328
1021,株式会社トーホーフードサービス　グループ,A0380813,マヨネーズ,1000,640,ＥＢ　マヨネーズ,18,本,640,11520
1021,株式会社トーホーフードサービス　グループ,A0380903,野菜のカポナータ,1000,1360,カゴメ　菜園風野菜のカポナータ 1k,122,PC,1360,165920
1021,株式会社トーホーフードサービス　グループ,A0380983,MKファーメントバター,1250,12187,雪印　バターファーメント    食塩不使用（MK）  1.25k/5,4,C/S,12187,48748
1021,株式会社トーホーフードサービス　グループ,A0381034,スペアミント,100,331,TDF　スペアミント,4,袋,331,1324
1021,株式会社トーホーフードサービス　グループ,A0381055,キノコブロッコリーマリネ,800,1260,ヤマダイ　３種きのこブロッコリーのバジルマリネ,22,袋,1259.090909,27700
